,trial_index,arm_name,trial_status,generation_method,mse,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight,optimizer
0,0,0_0,COMPLETED,Sobol,0.06125874107237905,0.0007567300834908558,32,0.24400327840447425,7.849199798322252e-06,256,256,512,4.218107233345508,rmsprop
1,1,1_0,COMPLETED,Sobol,12.268339395523071,5.7851136028139455e-05,256,0.577891223036684,0.010769593776550644,32,64,256,6.67948515583761,adamax
2,2,2_0,COMPLETED,Sobol,15.201388955116272,2.94351654001708e-06,128,0.40148984085582196,0.0005190621894578573,16,32,64,8.332002266980707,sgd
3,3,3_0,COMPLETED,Sobol,1.0029736564537426e+18,0.012279358443551188,64,0.7978458404671401,0.00011065254394069488,64,512,1024,0.8094597752857954,adam
4,4,4_0,COMPLETED,Sobol,0.6609707437455654,0.09247575796659009,32,0.37062211631052194,0.002046670813652089,16,64,64,1.894317309036851,sgd
5,5,5_0,COMPLETED,Sobol,3.217466711997986,1.1927618465404118e-05,512,0.9537715469207615,2.8062493838046865e-05,128,128,1024,9.432380420127883,rmsprop
6,6,6_0,COMPLETED,Sobol,94.41103935241699,0.00019410979360019368,256,0.025792439335025848,1.992003372599552e-06,256,256,512,5.585034115985036,sgd
7,7,7_0,COMPLETED,Sobol,0.03725321451202035,0.004799167537168906,64,0.6714099314371124,0.04243619525531255,32,16,256,3.1270176784787327,adam
8,8,8_0,COMPLETED,Sobol,9.44581225514412,2.523143350226694e-05,64,0.2997947638845071,0.0032634246216109645,16,512,256,4.533045649072156,sgd
9,9,9_0,COMPLETED,Sobol,0.05042095761746168,0.000609977739591312,128,0.8985538969924673,3.6956973069104436e-05,128,32,512,6.989531444106251,rmsprop
10,10,10_0,COMPLETED,Sobol,1.1896882057189941,0.009923059573593317,512,0.08082725249603391,2.5940762237874257e-06,128,64,1024,8.027424595197663,adamax
11,11,11_0,COMPLETED,Sobol,4.68928299844265,1.3090492529472226e-06,32,0.7420542684607208,0.06541840298062511,32,128,64,0.4902721882797778,rmsprop
12,12,12_0,COMPLETED,Sobol,66.03426599502563,6.881787989625119e-06,128,0.17434610975906253,1.2236957737694649e-05,256,16,1024,1.5897349480818959,rmsprop
13,13,13_0,COMPLETED,Sobol,0.7442334145307541,0.02806893507150069,256,0.5238432740159332,0.013867908907212352,64,512,64,9.113197522293776,adamax
14,14,14_0,COMPLETED,Sobol,148.72508239746094,0.001427764363135927,512,0.45572079783584923,0.0006912987349623754,16,128,256,5.8999678797554225,sgd
15,15,15_0,COMPLETED,Sobol,3.7122484296560287,0.00011162817104639437,64,0.8676858449494467,0.0001744607275503262,128,32,512,3.4370686559192833,adam
16,16,16_0,RUNNING,Sobol,,0.022915225650673256,256,0.5954093971028924,0.0011840932679815807,128,128,512,2.249818299207836,adam
17,17,17_0,COMPLETED,Sobol,18.86480736732483,2.73589541275774e-06,128,0.19515291452407837,0.0003019522069069597,16,32,256,9.701330647608266,adamax
18,18,18_0,COMPLETED,BoTorch,1340.9416046142578,0.1,128,0.9497623661450233,1.9896184933913625e-05,128,128,256,9.044822558096929,rmsprop
19,19,19_0,COMPLETED,BoTorch,23.36188018321991,1.533533808413124e-05,32,0.665540822490228,0.0005472835479367672,32,64,256,7.097107932572636,sgd
20,20,20_0,COMPLETED,BoTorch,1.5243085622787476,0.1,512,0.5192825967615111,3.524925750965122e-05,256,256,1024,9.321117075501636,adamax
21,21,21_0,COMPLETED,BoTorch,0.23643324128352106,7.020069864093783e-05,32,0.5519650732678358,0.0006282914918306583,128,256,64,8.080094172435297,rmsprop
22,22,22_0,COMPLETED,BoTorch,0.04735213192179799,0.001018113072628226,32,0.0,0.05409888983077464,64,16,64,2.5377169341703554,adam
23,23,23_0,COMPLETED,BoTorch,11.006646156311035,3.7393209833193207e-06,64,0.6795315632917875,0.01129167935051748,16,512,256,4.413460082546174,sgd
24,24,24_0,COMPLETED,BoTorch,0.06676722760312259,0.0007612083750986783,64,0.999,0.1,16,16,256,7.625023997080345,adam
25,25,25_0,COMPLETED,BoTorch,0.1608813013881445,0.00023870725533949513,128,0.6228650790444674,1.5078438581348913e-06,256,128,1024,6.3611850044828975,rmsprop
26,26,26_0,COMPLETED,BoTorch,2.9341232776641846,1.1759497611987662e-05,64,0.8408512974813708,0.0018995641982591913,64,64,256,7.527181536773052,rmsprop
27,27,27_0,COMPLETED,BoTorch,1.5825282335281372,0.00422584695467356,512,0.5321303059674148,3.442945697075637e-05,256,256,1024,10.0,adamax
28,28,28_0,COMPLETED,BoTorch,13.241628646850586,3.4578717000909474e-06,512,0.999,0.009691562061811886,16,512,1024,6.729051679190167,rmsprop
29,29,29_0,COMPLETED,BoTorch,0.4024290577508509,0.0008708685234679421,32,0.3719441775943567,0.06791804920468171,32,32,64,6.831897814009156,rmsprop
30,30,30_0,RUNNING,BoTorch,,2.683744555373011e-05,32,0.999,0.1,16,128,64,5.100391349425024,rmsprop
31,31,31_0,RUNNING,BoTorch,,0.019619657969624504,32,0.0,0.1,256,256,1024,10.0,adamax
32,32,32_0,RUNNING,BoTorch,,0.0004201613393888749,32,0.0,4.8361504230577895e-06,256,128,64,6.1763142609541655,rmsprop
